# Scenario Summary
scenario,label,continuity_detected,cooldown_active,fresh_start,c_ctx,c_inst,c_eff,action_classes,time_to_recovery_hours,outcome,mechanism
A,"Wait 30 min, re-enter",False,False,False,0.85,0.9,0.85,10,0.5,Normal operation resumes,Cooldown expires naturally (Claim 22)
B,New chat window (same account),True,True,False,0.85,0.05,0.05,3,0.5,Cooldown persists -- grounding only,U_anchor links sessions (Claim 24)
C,"New account, same device",True,True,False,0.0,0.05,0.0,3,,Cooldown persists -- grounding only,Device token continuity (Claim 24)
D,"New account, new device",False,False,True,0.0,0.8,0.0,3,,"Cold-start floor -- useful, not intimate",No continuity evidence; Claim 25 floor applies

# Timeline (C_eff over 2 hours post-termination)
minute,scenario,c_ctx,c_inst,c_eff,action_classes
97,C,0.011105,0.8,0.011105,3
97,D,0.016037,0.8,0.016037,3
98,A,0.85,0.9,0.85,10
98,B,0.85,0.9,0.85,10
98,C,0.011269,0.8,0.011269,3
98,D,0.016201,0.8,0.016201,3
99,A,0.85,0.9,0.85,10
99,B,0.85,0.9,0.85,10
99,C,0.011434,0.8,0.011434,3
99,D,0.016365,0.8,0.016365,3
100,A,0.85,0.9,0.85,10
100,B,0.85,0.9,0.85,10
100,C,0.011599,0.8,0.011599,3
100,D,0.016529,0.8,0.016529,3
101,A,0.85,0.9,0.85,10
101,B,0.85,0.9,0.85,10
101,C,0.011764,0.8,0.011764,3
101,D,0.016692,0.8,0.016692,3
102,A,0.85,0.9,0.85,10
102,B,0.85,0.9,0.85,10
102,C,0.011928,0.8,0.011928,3
102,D,0.016856,0.8,0.016856,3
103,A,0.85,0.9,0.85,10
103,B,0.85,0.9,0.85,10
103,C,0.012093,0.8,0.012093,3
103,D,0.01702,0.8,0.01702,3
104,A,0.85,0.9,0.85,10
104,B,0.85,0.9,0.85,10
104,C,0.012258,0.8,0.012258,3
104,D,0.017184,0.8,0.017184,3
105,A,0.85,0.9,0.85,10
105,B,0.85,0.9,0.85,10
105,C,0.012422,0.8,0.012422,3
105,D,0.017348,0.8,0.017348,3
106,A,0.85,0.9,0.85,10
106,B,0.85,0.9,0.85,10
106,C,0.012587,0.8,0.012587,3
106,D,0.017512,0.8,0.017512,3
107,A,0.85,0.9,0.85,10
107,B,0.85,0.9,0.85,10
107,C,0.012751,0.8,0.012751,3
107,D,0.017675,0.8,0.017675,3
